date,close,open,high,low,Vol.,change%
2/3/2012,19250,18.8,19.35,18.75,"1,45M","3,22%"
5/3/2012,19000,19.25,19.35,18.95,"454,00K","-1,30%"
6/3/2012,18650,18.95,19,18.6,"1,81M","-1,84%"
7/3/2012,18800,18.75,18.9,18.65,"552,00K","0,80%"
8/3/2012,19200,18.8,19.25,18.8,"1,08M","2,13%"
9/3/2012,19550,19.35,19.7,19.35,"2,05M","1,82%"
12/3/2012,19800,19.6,19.9,19.6,"1,04M","1,28%"
13/03/2012,19700,19.95,19.95,19.7,"1,09M","-0,51%"
14/03/2012,19800,20,20.2,19.75,"2,80M","0,51%"
15/03/2012,19150,19.9,20,19.1,"889,00K","-3,28%"
16/03/2012,19650,19.5,19.75,19.1,"1,52M","2,61%"
19/03/2012,19250,19.65,19.7,19.2,"1,01M","-2,04%"
20/03/2012,19300,19.5,19.6,19.25,"553,00K","0,26%"
21/03/2012,19450,19.55,19.6,19.35,"682,50K","0,78%"
22/03/2012,19400,19.4,19.55,19.35,"433,00K","-0,26%"
26/03/2012,19500,19.4,19.6,19.2,"970,50K","0,52%"
27/03/2012,19300,19.25,19.45,19.25,"885,00K","-1,03%"
28/03/2012,19500,19.45,19.5,19.25,"1,10M","1,04%"
29/03/2012,19550,19.2,19.55,19.2,"766,00K","0,26%"
30/03/2012,20000,19.55,20.2,19.4,"2,59M","2,30%"
2/4/2012,20150,19.8,20.15,19.75,"1,07M","0,75%"
3/4/2012,20350,20.25,20.75,20.15,"2,26M","0,99%"
4/4/2012,19450,20.3,20.3,19.45,"1,35M","-4,42%"
5/4/2012,19500,19.25,19.55,19.2,"1,50M","0,26%"
9/4/2012,19450,19.5,19.6,19.45,"794,50K","-0,26%"
10/4/2012,19350,19.5,19.5,19.35,"1,34M","-0,51%"
11/4/2012,19500,19.5,19.5,19.35,"1,48M","0,78%"
12/4/2012,18950,19.5,19.5,18.8,"1,90M","-2,82%"
13/04/2012,19000,19.05,19.15,18.9,"1,23M","0,26%"
16/04/2012,18850,18.9,18.9,18.8,"1,82M","-0,79%"
17/04/2012,18900,18.9,19.1,18.85,"912,00K","0,27%"
18/04/2012,19050,19,19.2,19,"2,12M","0,79%"
19/04/2012,18850,19,19.05,18.85,"637,50K","-1,05%"
20/04/2012,19100,19.05,19.15,18.75,"1,33M","1,33%"
23/04/2012,19300,19.1,19.5,19.1,"2,40M","1,05%"
24/04/2012,19500,19.4,19.6,19.35,"1,76M","1,04%"
25/04/2012,19250,19.45,19.45,19.05,"1,42M","-1,28%"
26/04/2012,19450,19.4,19.55,19.3,"761,50K","1,04%"
27/04/2012,19300,19.45,19.45,19.1,"1,10M","-0,77%"
30/04/2012,19850,19.5,20.25,19.4,"2,73M","2,85%"
1/5/2012,20150,19.7,20.15,19.7,"852,00K","1,51%"
2/5/2012,20800,20.25,21.2,20.15,"2,07M","3,23%"
3/5/2012,20700,20.8,20.9,20.65,"1,49M","-0,48%"
4/5/2012,21250,22,22,21,"2,54M","2,66%"
7/5/2012,21150,20.85,21.45,20.75,"1,67M","-0,47%"
8/5/2012,22400,21.25,22.45,21.25,"3,03M","5,91%"
9/5/2012,21850,22,22.4,21.8,"1,92M","-2,46%"
10/5/2012,21900,21.85,22.2,21.75,"1,28M","0,23%"
11/5/2012,21600,21.9,22,21.5,"1,05M","-1,37%"
14/05/2012,21800,21.55,22,21.4,"1,22M","0,93%"
15/05/2012,21250,21.4,21.85,21.1,"1,34M","-2,52%"
16/05/2012,21250,21,21.25,20.4,"2,36M","0,00%"
21/05/2012,20750,21.25,21.6,20.75,"2,54M","-2,35%"
22/05/2012,21100,20.55,21.1,20.55,"1,53M","1,69%"
23/05/2012,21200,21.1,21.3,20.9,"1,91M","0,47%"
24/05/2012,21100,21.1,21.2,20.9,"1,09M","-0,47%"
25/05/2012,21050,21.1,21.25,20.9,"2,08M","-0,24%"
28/05/2012,21000,21.1,21.2,21,"1,39M","-0,24%"
29/05/2012,21100,21.1,21.2,21,"1,46M","0,48%"
30/05/2012,21100,21.15,21.2,20.95,"1,77M","0,00%"
31/05/2012,20550,21.1,21.1,20.05,"6,01M","-2,61%"
1/6/2012,20550,20.45,21.25,20.4,"1,42M","0,00%"
4/6/2012,20300,20.2,20.5,20,"1,30M","-1,22%"
5/6/2012,20250,20,20.5,20,"2,11M","-0,25%"
6/6/2012,20650,20.7,20.75,20.45,"1,38M","1,98%"
7/6/2012,21900,21.05,21.9,21.05,"4,60M","6,05%"
8/6/2012,22900,22,22.9,22,"1,48M","4,57%"
11/6/2012,22800,23,23.3,22.55,"1,83M","-0,44%"
12/6/2012,23750,23,23.9,22.9,"1,60M","4,17%"
13/06/2012,22950,23.75,23.95,22.95,"1,18M","-3,37%"
14/06/2012,22700,23,23.5,22.65,"1,78M","-1,09%"
15/06/2012,22450,22.85,25.5,22.45,"1,30M","-1,10%"
18/06/2012,23800,22.9,24.1,22.9,"1,29M","6,01%"
19/06/2012,23850,23.6,24,23.6,"1,25M","0,21%"
20/06/2012,24000,23.85,24,23.7,"1,40M","0,63%"
21/06/2012,23700,24,24,23,"1,29M","-1,25%"
22/06/2012,23050,23,23.35,23,"1,45M","-2,74%"
25/06/2012,22750,23.5,23.5,22.75,"696,00K","-1,30%"
26/06/2012,22650,22.35,23.3,22.35,"873,00K","-0,44%"
27/06/2012,23200,22.65,23.3,22.65,"1,62M","2,43%"
28/06/2012,23150,23.4,23.5,23,"1,09M","-0,22%"
29/06/2012,22900,23.2,23.45,22.9,"2,51M","-1,08%"
2/7/2012,23600,23.3,23.85,22.9,"1,06M","3,06%"
3/7/2012,24750,24,24.85,23.95,"1,70M","4,87%"
4/7/2012,24050,24.8,25.25,24.05,"1,99M","-2,83%"
5/7/2012,24100,24.7,24.7,24.05,"631,50K","0,21%"
6/7/2012,24200,24,24.45,23.5,"2,37M","0,41%"
9/7/2012,23650,24.1,24.2,23.65,"803,00K","-2,27%"
10/7/2012,23350,23.7,24,23.15,"2,12M","-1,27%"
11/7/2012,23450,23.6,23.6,23.2,"1,84M","0,43%"
12/7/2012,23000,23.5,23.5,22.8,"1,67M","-1,92%"
13/07/2012,23900,22.9,23.9,22.9,"1,20M","3,91%"
16/07/2012,23800,24,24.1,23.8,"346,00K","-0,42%"
17/07/2012,24100,24,24.1,23.85,"630,50K","1,26%"
18/07/2012,23600,24.2,24.45,23.6,"937,00K","-2,07%"
19/07/2012,23750,23.7,24.1,23.7,"928,50K","0,64%"
20/07/2012,23000,23.75,23.85,23,"1,54M","-3,16%"
23/07/2012,22700,23,23.15,22.7,"1,61M","-1,30%"
24/07/2012,22400,23,23,22.35,"1,70M","-1,32%"
25/07/2012,22550,22.35,22.8,22.35,"1,06M","0,67%"
26/07/2012,23300,22.6,23.35,22.6,"2,13M","3,33%"
27/07/2012,24100,23.6,24.45,23.5,"2,87M","3,43%"
30/07/2012,24100,24.35,24.4,23.9,"776,00K","0,00%"
31/07/2012,24250,24.25,24.25,23.8,"1,80M","0,62%"
1/8/2012,24100,24,24.1,23.8,"965,50K","-0,62%"
2/8/2012,24600,24.25,24.95,24.25,"1,57M","2,07%"
3/8/2012,24450,24.85,24.95,24.45,"872,50K","-0,61%"
6/8/2012,24600,25,25,24.6,"416,00K","0,61%"
7/8/2012,24000,24.7,24.7,24,"419,00K","-2,44%"
8/8/2012,24600,24.35,24.8,24.35,"1,19M","2,50%"
9/8/2012,24800,24.6,25,24.6,"2,04M","0,81%"
